"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.331379700E-2,-7.928559780E-1,-4.912810028E-1,5.982409716E-1
5.840880900E-2,-3.892200068E-2,-3.672580123E-1,5.309300125E-2
6.341927100E-2,2.411399968E-2,-1.937469989E-1,-2.744660079E-1
6.842980400E-2,-7.346100360E-2,-4.304000176E-3,-3.732540011E-1
7.344026600E-2,-2.331259996E-1,1.434089988E-1,-3.332929909E-1
7.845095800E-2,-3.024930060E-1,1.958889961E-1,-2.747359872E-1
8.346149800E-2,-4.088270068E-1,1.085020006E-1,-2.449969947E-1
8.847196900E-2,-4.663369954E-1,6.548000127E-2,-2.279170007E-1
9.348243000E-2,-4.165380001E-1,6.509599835E-2,8.448000066E-3
9.849312100E-2,-4.048900008E-1,9.470599890E-2,4.178119898E-1
1.035036610E-1,-3.428379893E-1,1.344570071E-1,8.258450031E-1
1.085141280E-1,-2.174369991E-1,1.170289963E-1,1.282927036E0
1.135248180E-1,-9.126900136E-2,4.978699982E-2,1.779317975E0
1.185352820E-1,-1.971700042E-2,-6.703000050E-3,1.790900946E0
1.235458510E-1,-3.431800008E-2,-1.417929977E-1,1.483289003E0
1.285563150E-1,-7.269900292E-2,-2.711040080E-1,1.090814948E0
1.335670240E-1,-7.306800038E-2,-3.309240043E-1,6.991729736E-1
1.385774880E-1,1.608699933E-2,-2.978619933E-1,5.474269986E-1
1.435879440E-1,1.546870023E-1,-2.894810140E-1,4.989939928E-1
1.485984810E-1,1.532540023E-1,-2.658880055E-1,3.860650063E-1
1.536089440E-1,2.388099954E-2,-2.501069903E-1,3.138239980E-1
1.586196340E-1,-1.199849993E-1,-2.753610015E-1,3.347739875E-1
1.636301750E-1,-2.772479951E-1,-3.342460096E-1,3.196020126E-1
1.686406360E-1,-3.519990146E-1,-2.836860120E-1,1.654669940E-1
1.736513360E-1,-5.276970267E-1,-9.346900135E-2,1.638600044E-2
1.786617990E-1,-6.846029758E-1,9.083099663E-2,-4.123400152E-2
1.836722610E-1,-6.914259791E-1,2.167620063E-1,-2.555999905E-3
1.886827970E-1,-7.605339885E-1,4.372699857E-1,9.870400280E-2
1.936932610E-1,-9.124649763E-1,6.499699950E-1,1.643099934E-1
1.987039700E-1,-9.527800083E-1,9.240109921E-1,2.709859908E-1
2.037144340E-1,-8.679950237E-1,1.120939970E0,3.993940055E-1
2.087249850E-1,-7.123240232E-1,1.291141987E0,5.899429917E-1
2.137354490E-1,-5.299149752E-1,1.306570053E0,7.849559784E-1
2.187461530E-1,-2.794040143E-1,1.218312979E0,1.010630012E0
2.237566170E-1,-3.532899916E-2,1.114683986E0,1.173328042E0
2.287671480E-1,1.553359926E-1,9.538630247E-1,1.337924957E0
2.337776120E-1,4.068079889E-1,7.557209730E-1,1.329995990E0
2.387882880E-1,6.168850064E-1,5.357019901E-1,1.039723039E0
2.437987520E-1,6.184070110E-1,3.235459924E-1,6.113989949E-1
2.488093120E-1,4.738500118E-1,2.109739929E-1,2.753390074E-1
2.538200040E-1,4.168699980E-1,1.012990028E-1,1.719000004E-2
2.588304540E-1,4.110629857E-1,5.393600091E-2,-6.747599691E-2
2.638409150E-1,2.874740064E-1,4.645200074E-2,-5.508200079E-2
2.688514520E-1,1.610440016E-1,5.507500097E-2,-2.750599943E-2
2.738619100E-1,-1.632400043E-2,1.080589965E-1,9.879799932E-2
2.788723720E-1,-2.015320063E-1,1.716459990E-1,2.754310071E-1
2.838830620E-1,-3.508380055E-1,2.120579928E-1,3.631440103E-1
2.888935400E-1,-4.883329868E-1,3.246569932E-1,3.641900122E-1
2.939040760E-1,-6.472349763E-1,4.128620028E-1,5.252370238E-1
2.989147640E-1,-6.512799859E-1,5.232430100E-1,6.205499768E-1
3.039252270E-1,-6.344509721E-1,6.206560135E-1,5.627269745E-1
3.089357640E-1,-6.408179998E-1,6.596950293E-1,3.183780015E-1
3.139462130E-1,-6.008459926E-1,6.772840023E-1,-8.420400321E-2
3.189566750E-1,-5.383960009E-1,6.642810106E-1,-4.484690130E-1
3.239673650E-1,-4.296250045E-1,5.469809771E-1,-8.560199738E-1
3.289778290E-1,-4.062129855E-1,4.377999902E-1,-1.158681989E0
3.339883740E-1,-3.244929910E-1,2.213830054E-1,-1.350321054E0
3.389988380E-1,-2.626369894E-1,4.051499814E-2,-1.280619025E0
3.440095330E-1,-2.331900001E-1,-1.138980016E-1,-9.665470123E-1
3.490199970E-1,-2.774380147E-1,-2.409870028E-1,-4.965350032E-1
3.540305380E-1,-2.596629858E-1,-3.948290050E-1,9.934999980E-3
3.590410020E-1,-1.111389995E-1,-4.301919937E-1,4.874860048E-1
3.640514630E-1,-1.330250055E-1,-3.460099995E-1,6.993880272E-1
3.690621530E-1,-2.494170070E-1,-1.343089938E-1,6.759129763E-1
3.740726940E-1,-2.694250047E-1,6.044000015E-2,6.388710141E-1
3.790831650E-1,-3.426780105E-1,3.066720068E-1,6.600710154E-1
3.840938550E-1,-3.819049895E-1,5.739799738E-1,6.928330064E-1
3.891043180E-1,-4.249149859E-1,8.367869854E-1,7.176730037E-1
3.941148700E-1,-4.086749852E-1,1.027189016E0,6.718050241E-1
3.991253330E-1,-3.359149992E-1,1.194630980E0,5.866060257E-1
4.041357850E-1,-1.940249950E-1,1.281312943E0,4.769490063E-1
4.091464750E-1,4.138899967E-2,1.318060040E0,3.962039948E-1
4.141569540E-1,1.434649974E-1,1.289121985E0,3.499709964E-1
4.191674900E-1,2.711319923E-1,1.239143968E0,5.308719873E-1
4.241779540E-1,4.620789886E-1,1.251353979E0,8.384559751E-1
4.291886430E-1,5.726739764E-1,1.237056017E0,1.098672986E0
4.341991840E-1,5.838930011E-1,1.210701942E0,1.253916025E0
4.392096450E-1,4.691709876E-1,1.197162986E0,1.387735963E0
4.442203360E-1,2.881540060E-1,1.190835953E0,1.758337021E0
4.492308090E-1,1.108549982E-1,1.252511978E0,2.332206964E0
4.542413460E-1,3.677399829E-2,1.315253019E0,2.760102987E0
4.592517130E-1,3.432799876E-2,1.303132057E0,2.731292009E0
4.642622500E-1,8.480399847E-2,1.217267036E0,2.265043020E0
4.692729270E-1,2.732920051E-1,1.156366944E0,1.452231050E0
4.742833910E-1,4.665899873E-1,1.097152948E0,4.795610011E-1
4.792939460E-1,4.808349907E-1,1.237094998E0,-4.497080147E-1
4.843044100E-1,4.533630013E-1,1.302063942E0,-1.303251028E0
4.893150910E-1,3.968870044E-1,1.207348943E0,-1.996621013E0
4.943255540E-1,3.381629884E-1,1.082452059E0,-2.429811001E0
4.993360860E-1,2.825439870E-1,9.512810111E-1,-2.897619009E0
5.043465490E-1,2.301940024E-1,8.787299991E-1,-3.402312994E0
5.093569960E-1,2.343849987E-1,8.380140066E-1,-3.682544947E0
5.143676860E-1,3.945119977E-1,8.592829704E-1,-3.786223888E0
5.193782230E-1,5.888460279E-1,9.329689741E-1,-3.719510078E0
5.243886840E-1,6.992369890E-1,9.702919722E-1,-3.470293999E0
5.293993600E-1,7.309730053E-1,8.741109967E-1,-2.852370977E0
5.344098230E-1,6.978830099E-1,7.442460060E-1,-2.049725056E0
5.394202710E-1,6.635349989E-1,5.643470287E-1,-1.131333947E0
5.444307320E-1,5.431069732E-1,3.952310085E-1,-8.938519955E-1
5.494412450E-1,3.689880073E-1,3.330619931E-1,-1.231991053E0
5.544517080E-1,1.742330045E-1,2.836830020E-1,-1.530648947E0
5.594623700E-1,9.080699831E-2,9.119600058E-2,-1.558650970E0
5.644728330E-1,1.067999974E-1,-1.164380014E-1,-1.396577954E0
5.694833650E-1,2.511610091E-1,-3.137330115E-1,-1.237597942E0
5.744940570E-1,5.566080213E-1,-3.564299941E-1,-1.544605970E0
5.795045020E-1,1.235625982E0,-6.965199858E-2,-1.771842957E0
5.845149630E-1,1.540786982E0,-1.604589969E-1,-1.884600043E0
5.895254850E-1,1.498586059E0,-4.698289931E-1,-1.896739960E0
5.945359480E-1,1.388867021E0,-3.834680021E-1,-3.246172905E0
5.995466240E-1,1.329503059E0,-1.575549990E-1,-4.713481903E0
6.045570880E-1,9.407079816E-1,-2.333050072E-1,-4.675660133E0
6.095676190E-1,-8.583699912E-2,-2.807300091E-1,-4.656626225E0
6.145780830E-1,-7.283549905E-1,-1.666149944E-1,-5.824895859E0
6.195887920E-1,-8.106660247E-1,-6.130250096E-1,-5.425745010E0
6.245992560E-1,8.877599984E-2,-1.211796045E0,-4.325940132E0
6.296097880E-1,6.581490040E-1,-2.337009907E0,-3.505650997E0
6.346202520E-1,4.807389975E-1,-3.632019043E0,-3.269005060E0
6.396306980E-1,5.209969878E-1,-4.776550770E0,-2.326276064E0
6.446413890E-1,7.717999816E-1,-5.814939022E0,-1.037979007E0
6.496519190E-1,7.244719863E-1,-6.109923840E0,-1.171036959E0
6.546623810E-1,3.024190068E-1,-5.121459007E0,-4.817953110E0
6.596728420E-1,1.792789996E-1,-3.617433071E0,-9.635531425E0
6.646835330E-1,9.971950054E-1,-1.864670038E0,-5.401313782E0
6.696940060E-1,3.929640055E-1,9.419670105E-1,-7.474229932E-1
6.747045430E-1,-1.882431984E0,3.987202883E0,-2.298630029E-1
6.797150110E-1,-2.438415051E0,5.296786785E0,1.437031984E0
6.847257020E-1,-2.133538008E0,5.750902176E0,2.819318056E0
6.897361600E-1,-2.114974976E0,5.976391792E0,3.968566895E0
6.947466970E-1,-1.817914963E0,5.798701763E0,4.654113770E0
6.997571700E-1,-2.855109870E-1,4.255988121E0,4.370464802E0
7.047678600E-1,1.644665956E0,2.383755922E0,4.020545959E0
7.097783280E-1,2.500000954E0,1.692466974E0,4.021658897E0
7.147887900E-1,2.681969881E0,1.992144942E0,4.274013996E0
7.197993410E-1,2.672617912E0,2.341658115E0,4.367812157E0
7.248100330E-1,2.923458099E0,2.505614042E0,3.778510094E0
7.298204970E-1,3.071542025E0,2.524574995E0,3.149379969E0
7.348310330E-1,2.959522009E0,2.548429966E0,2.595786095E0
7.398414870E-1,2.681901932E0,2.638082027E0,1.704457045E0
7.448519480E-1,2.411113024E0,2.428276062E0,1.228292942E0
7.498626390E-1,2.228308916E0,1.957973003E0,1.368111968E0
7.548731020E-1,1.912842035E0,1.546237946E0,1.753893018E0
7.598836390E-1,1.426134944E0,1.297791958E0,2.064708948E0
7.648941020E-1,9.229220152E-1,1.115062952E0,2.518903971E0
7.699045540E-1,6.086900234E-1,8.630869985E-1,3.045694113E0
7.749152440E-1,4.003430009E-1,5.241180062E-1,3.455745935E0
7.799256900E-1,2.784090042E-1,1.855079979E-1,3.745937109E0
7.849362260E-1,2.336920053E-1,2.971900068E-2,3.936202049E0
7.899466900E-1,2.774339914E-1,2.284299955E-2,3.787043095E0
7.949573840E-1,3.784559965E-1,2.820700034E-2,3.406250000E0
7.999678480E-1,5.340530276E-1,8.031999692E-3,2.942507982E0
8.049783800E-1,7.633180022E-1,-1.341840029E-1,2.652334929E0
8.099888440E-1,9.655789733E-1,-3.096840084E-1,2.452603102E0
8.149995340E-1,7.510570288E-1,-1.464280039E-1,2.005477905E0
8.200099980E-1,3.417150080E-1,1.296429932E-1,1.554288030E0
