"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
0.000000000E0,6.500578980E1,2.560790310E1,3.012484789E1,NaN,NaN,2.879899979E1,1.955208898E0
0.000000000E0,6.500578980E1,2.560790310E1,3.012484789E1,NaN,NaN,2.879899979E1,1.955208898E0
0.000000000E0,6.500578980E1,2.560790310E1,3.012484789E1,NaN,NaN,2.879899979E1,1.955208898E0
1.817510280E-1,6.500563960E1,2.560733900E1,3.012495678E1,NaN,NaN,1.484300041E1,1.000000000E0
2.234751028E0,6.500558500E1,2.560760833E1,3.232494025E1,1.940502822E-1,0.000000000E0,4.599999905E0,3.640000153E1
3.234751028E0,6.500556833E1,2.560760667E1,2.622494493E1,2.398605496E-1,0.000000000E0,2.200000048E0,1.110000038E1
4.234751028E0,6.500557167E1,2.560757833E1,2.722494748E1,1.240480542E-1,0.000000000E0,1.899999976E0,1.060000038E1
5.234751028E0,6.500557667E1,2.560756500E1,2.752494775E1,6.897278130E-2,0.000000000E0,1.700000048E0,1.100000000E1
6.520751028E0,6.500558000E1,2.560755333E1,2.762494828E1,7.257582992E-2,0.000000000E0,1.600000024E0,1.060000038E1
7.520751028E0,6.500558333E1,2.560755333E1,2.822494738E1,1.734613925E-1,0.000000000E0,1.500000000E0,1.060000038E1
8.518751028E0,6.500558833E1,2.560754167E1,2.812494746E1,5.847244263E-1,3.305499878E2,1.399999976E0,1.030000019E1
9.518751028E0,6.500559833E1,2.560753833E1,2.742494517E1,8.786308169E-1,3.372000122E2,1.500000000E0,1.019999981E1
1.051875103E1,6.500561000E1,2.560753167E1,2.652494285E1,1.091725826E0,3.306199951E2,1.500000000E0,1.030000019E1
1.151875103E1,6.500562667E1,2.560752167E1,2.532493958E1,1.298644185E0,3.243999939E2,1.500000000E0,1.010000038E1
1.251875103E1,6.500564167E1,2.560750500E1,2.402493757E1,1.213714957E0,3.182500000E2,1.600000024E0,1.010000038E1
1.351875103E1,6.500565500E1,2.560748167E1,2.352493682E1,1.379970312E0,3.252300110E2,1.500000000E0,1.000000000E1
1.451875103E1,6.500566667E1,2.560745833E1,2.312493652E1,1.178199172E0,3.328699951E2,1.500000000E0,9.899999619E0
1.551875103E1,6.500567667E1,2.560743833E1,2.342493626E1,1.212685585E0,3.347600098E2,1.500000000E0,9.699999809E0
1.601875103E1,6.500568000E1,2.560742333E1,2.362493719E1,1.293496966E0,3.233200073E2,1.399999976E0,9.500000000E0
1.651875103E1,6.500568500E1,2.560740667E1,2.352493787E1,1.085034490E0,3.305799866E2,1.399999976E0,9.500000000E0
1.701875103E1,6.500569167E1,2.560739333E1,2.382493770E1,1.313571095E0,3.192300110E2,1.399999976E0,9.500000000E0
1.851875103E1,6.500570500E1,2.560735333E1,2.462493897E1,1.219376922E0,3.181000061E2,1.399999976E0,9.500000000E0
1.951875103E1,6.500571667E1,2.560733000E1,2.512493867E1,1.162242770E0,3.224400024E2,1.399999976E0,9.800000191E0
2.051875103E1,6.500572667E1,2.560731500E1,2.562493780E1,1.205479503E0,3.121400146E2,1.399999976E0,1.000000000E1
2.151875103E1,6.500573500E1,2.560730500E1,2.572493677E1,1.176655054E0,3.196900024E2,1.399999976E0,9.800000191E0
2.251875103E1,6.500574167E1,2.560728833E1,2.602493700E1,1.214229703E0,3.192900085E2,1.399999976E0,1.000000000E1
2.351875103E1,6.500575000E1,2.560727167E1,2.622493679E1,1.243568897E0,3.207000122E2,1.399999976E0,1.000000000E1
2.451875103E1,6.500575833E1,2.560726000E1,2.642493596E1,1.267760873E0,3.253099976E2,1.399999976E0,1.000000000E1
2.551875103E1,6.500576833E1,2.560724167E1,2.652493550E1,1.268790245E0,3.307399902E2,1.399999976E0,1.019999981E1
2.651875103E1,6.500578000E1,2.560723500E1,2.642493317E1,1.281658292E0,3.271799927E2,1.399999976E0,1.010000038E1
2.751875103E1,6.500579000E1,2.560722000E1,2.622493230E1,1.263128281E0,3.212500000E2,1.399999976E0,1.000000000E1
2.851875103E1,6.500580000E1,2.560720500E1,2.602493143E1,1.251289725E0,3.249899902E2,1.399999976E0,1.000000000E1
2.951875103E1,6.500580833E1,2.560718167E1,2.602493202E1,1.257981062E0,3.127600098E2,1.399999976E0,9.800000191E0
3.051875103E1,6.500581833E1,2.560715667E1,2.622493236E1,1.265187263E0,3.137200012E2,1.399999976E0,9.800000191E0
3.151875103E1,6.500582667E1,2.560713000E1,2.632493335E1,1.280628920E0,2.972600098E2,1.399999976E0,1.010000038E1
3.251875103E1,6.500583167E1,2.560710000E1,2.652493565E1,1.281143665E0,2.991000061E2,1.399999976E0,1.000000000E1
3.351875103E1,6.500583833E1,2.560707667E1,2.652493669E1,1.261584163E0,2.926000061E2,1.399999976E0,9.699999809E0
3.451875103E1,6.500584500E1,2.560705333E1,2.642493773E1,1.244598389E0,3.018500061E2,1.399999976E0,9.199999809E0
3.551875103E1,6.500585333E1,2.560703167E1,2.662493811E1,1.234303832E0,3.103200073E2,1.399999976E0,9.000000000E0
3.651875103E1,6.500586500E1,2.560702167E1,2.672493618E1,1.248201370E0,3.265799866E2,1.399999976E0,8.899999619E0
3.751875103E1,6.500587333E1,2.560701167E1,2.642493515E1,1.255407453E0,3.588200073E2,1.399999976E0,9.000000000E0
3.851875103E1,6.500588167E1,2.560701167E1,2.612493291E1,1.254378080E0,1.000000015E-1,1.399999976E0,9.100000381E0
3.951875103E1,6.500589000E1,2.560701333E1,2.592493046E1,1.238421679E0,2.982999992E1,1.299999952E0,8.899999619E0
4.051875103E1,6.500589667E1,2.560703667E1,2.602492584E1,1.234303832E0,5.204999924E1,1.299999952E0,8.800000191E0
4.151875103E1,6.500590333E1,2.560706667E1,2.612492040E1,1.223494768E0,6.081000137E1,1.299999952E0,8.899999619E0
4.251875103E1,6.500590833E1,2.560709500E1,2.612491562E1,1.215259194E0,6.013000107E1,1.399999976E0,9.000000000E0
4.351875103E1,6.500591333E1,2.560711667E1,2.612491165E1,1.197758555E0,6.302000046E1,1.399999976E0,9.100000381E0
4.451875103E1,6.500591833E1,2.560714000E1,2.612490747E1,1.192611337E0,5.413999939E1,1.399999976E0,8.899999619E0
4.551875103E1,6.500592667E1,2.560716667E1,2.612490199E1,1.219376922E0,5.349000168E1,1.399999976E0,9.100000381E0
4.651875103E1,6.500593333E1,2.560719500E1,2.642489676E1,1.231215596E0,5.627999878E1,1.399999976E0,8.899999619E0
4.751875103E1,6.500594000E1,2.560721667E1,2.682489234E1,1.247171998E0,5.968999863E1,1.399999976E0,9.000000000E0
4.851875103E1,6.500594333E1,2.560724333E1,2.712488821E1,1.266216636E0,5.543999863E1,1.399999976E0,9.100000381E0
4.951875103E1,6.500595333E1,2.560726000E1,2.712488350E1,1.280628920E0,5.700999832E1,1.399999976E0,9.199999809E0
5.051875103E1,6.500595833E1,2.560728667E1,2.722487892E1,1.285261393E0,5.902999878E1,1.399999976E0,9.199999809E0
5.151875103E1,6.500596500E1,2.560731167E1,2.722487409E1,1.272393346E0,5.863999939E1,1.399999976E0,9.300000191E0
5.251875103E1,6.500597167E1,2.560733167E1,2.742486987E1,1.250260234E0,5.611999893E1,1.399999976E0,9.199999809E0
5.351875103E1,6.500597833E1,2.560734833E1,2.772486606E1,1.247171998E0,5.686999893E1,1.399999976E0,9.199999809E0
5.451875103E1,6.500598833E1,2.560736500E1,2.772486135E1,1.249230862E0,5.583000183E1,1.399999976E0,9.199999809E0
5.551875103E1,6.500599500E1,2.560738833E1,2.782485672E1,1.237392187E0,5.070000076E1,1.399999976E0,9.399999619E0
5.651875103E1,6.500600333E1,2.560740500E1,2.782485246E1,1.223494768E0,5.247000122E1,1.399999976E0,9.000000000E0
5.751875103E1,6.500601000E1,2.560742333E1,2.762484845E1,1.216288567E0,5.463000107E1,1.399999976E0,9.000000000E0
5.851875103E1,6.500601667E1,2.560745333E1,2.762484302E1,1.224524140E0,5.450999832E1,1.399999976E0,9.000000000E0
5.951875103E1,6.500602667E1,2.560747833E1,2.762483730E1,1.247686625E0,5.741999817E1,1.399999976E0,9.000000000E0
6.051875103E1,6.500603167E1,2.560750667E1,2.742483252E1,1.267760873E0,6.011999893E1,1.399999976E0,9.100000381E0
6.151875103E1,6.500603667E1,2.560754000E1,2.692482713E1,1.301217794E0,5.954000092E1,1.500000000E0,8.699999809E0
6.251875103E1,6.500604167E1,2.560756333E1,2.672482296E1,1.331071615E0,5.909000015E1,1.399999976E0,8.899999619E0
